Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Boise,Weekly,"2020-04-26 00:00:00",Organic,1.550000000,7609.00,4.00,1369.00,1.00,6234.00,2658.00,3577.00,0.00,
Boston,Weekly,"2020-05-17 00:00:00",Organic,2.040000000,44906.00,74.00,2495.00,0.00,42337.00,40460.00,1877.00,0.00,
Boston,Weekly,"2020-05-10 00:00:00",Organic,2.110000000,42554.00,98.00,2670.00,0.00,39786.00,38008.00,1778.00,0.00,
Boston,Weekly,"2020-05-03 00:00:00",Organic,2.100000000,37432.00,109.00,2350.00,0.00,34972.00,32895.00,2077.00,0.00,
Boston,Weekly,"2020-04-26 00:00:00",Organic,2.010000000,38065.00,58.00,2281.00,0.00,35726.00,33269.00,2456.00,0.00,
Buffalo/Rochester,Weekly,"2020-05-17 00:00:00",Organic,1.140000000,4379.00,651.00,221.00,0.00,3507.00,3507.00,0.00,0.00,
Buffalo/Rochester,Weekly,"2020-05-10 00:00:00",Organic,1.110000000,4964.00,990.00,253.00,0.00,3722.00,3722.00,0.00,0.00,
Buffalo/Rochester,Weekly,"2020-05-03 00:00:00",Organic,1.220000000,4607.00,905.00,183.00,1.00,3518.00,3518.00,0.00,0.00,
Buffalo/Rochester,Weekly,"2020-04-26 00:00:00",Organic,1.380000000,6486.00,1074.00,197.00,0.00,5215.00,5067.00,147.00,0.00,
California,Weekly,"2020-05-17 00:00:00",Organic,1.750000000,420591.00,31149.00,30605.00,69.00,358767.00,192439.00,166327.00,0.00,
California,Weekly,"2020-05-10 00:00:00",Organic,1.680000000,407827.00,34010.00,25468.00,49.00,348300.00,189001.00,159299.00,0.00,
California,Weekly,"2020-05-03 00:00:00",Organic,1.900000000,317945.00,32996.00,43945.00,90.00,240914.00,153276.00,87638.00,0.00,
California,Weekly,"2020-04-26 00:00:00",Organic,1.680000000,337922.00,27385.00,49064.00,58.00,261414.00,132291.00,129123.00,0.00,
Charlotte,Weekly,"2020-05-17 00:00:00",Organic,1.570000000,21593.00,180.00,4250.00,57.00,17107.00,10804.00,6303.00,0.00,
Charlotte,Weekly,"2020-05-10 00:00:00",Organic,1.570000000,22675.00,130.00,3994.00,77.00,18474.00,7289.00,11185.00,0.00,
Charlotte,Weekly,"2020-05-03 00:00:00",Organic,1.370000000,24064.00,211.00,4211.00,85.00,19557.00,6047.00,13511.00,0.00,
Charlotte,Weekly,"2020-04-26 00:00:00",Organic,1.600000000,21401.00,114.00,4463.00,67.00,16756.00,5957.00,10800.00,0.00,
Chicago,Weekly,"2020-05-17 00:00:00",Organic,1.580000000,107361.00,1685.00,10804.00,0.00,94873.00,14540.00,80333.00,0.00,
Chicago,Weekly,"2020-05-10 00:00:00",Organic,1.640000000,119967.00,1911.00,13079.00,0.00,104977.00,38294.00,66683.00,0.00,
Chicago,Weekly,"2020-05-03 00:00:00",Organic,1.720000000,103746.00,2327.00,14302.00,0.00,87116.00,48582.00,38535.00,0.00,
Chicago,Weekly,"2020-04-26 00:00:00",Organic,1.660000000,110470.00,2113.00,14744.00,0.00,93613.00,29459.00,64153.00,0.00,
Cincinnati/Dayton,Weekly,"2020-05-17 00:00:00",Organic,1.630000000,19844.00,120.00,2298.00,0.00,17425.00,2962.00,14463.00,0.00,
Cincinnati/Dayton,Weekly,"2020-05-10 00:00:00",Organic,1.500000000,26877.00,204.00,3856.00,0.00,22817.00,3712.00,19106.00,0.00,
Cincinnati/Dayton,Weekly,"2020-05-03 00:00:00",Organic,1.490000000,26511.00,271.00,5117.00,0.00,21122.00,3950.00,17173.00,0.00,
Cincinnati/Dayton,Weekly,"2020-04-26 00:00:00",Organic,1.700000000,25550.00,196.00,3033.00,0.00,22320.00,3517.00,18803.00,0.00,
Columbus,Weekly,"2020-05-17 00:00:00",Organic,1.280000000,15488.00,960.00,966.00,0.00,13562.00,5346.00,8216.00,0.00,
Columbus,Weekly,"2020-05-10 00:00:00",Organic,1.260000000,18536.00,1044.00,1545.00,0.00,15946.00,5619.00,10327.00,0.00,
Columbus,Weekly,"2020-05-03 00:00:00",Organic,1.330000000,17843.00,1345.00,1841.00,0.00,14657.00,5534.00,9123.00,0.00,
Columbus,Weekly,"2020-04-26 00:00:00",Organic,1.340000000,18159.00,1150.00,872.00,0.00,16136.00,6797.00,9339.00,0.00,
"Dallas/Ft. Worth",Weekly,"2020-05-17 00:00:00",Organic,1.220000000,53006.00,5451.00,171.00,387.00,46997.00,25968.00,21030.00,0.00,
"Dallas/Ft. Worth",Weekly,"2020-05-10 00:00:00",Organic,1.180000000,52438.00,7065.00,123.00,304.00,44946.00,24012.00,20934.00,0.00,
"Dallas/Ft. Worth",Weekly,"2020-05-03 00:00:00",Organic,1.170000000,49086.00,6650.00,142.00,338.00,41957.00,16369.00,25587.00,0.00,
"Dallas/Ft. Worth",Weekly,"2020-04-26 00:00:00",Organic,1.200000000,54351.00,6708.00,160.00,373.00,47110.00,26131.00,20979.00,0.00,
Denver,Weekly,"2020-05-17 00:00:00",Organic,1.400000000,43277.00,8162.00,1825.00,0.00,33290.00,14575.00,18715.00,0.00,
Denver,Weekly,"2020-05-10 00:00:00",Organic,1.380000000,50008.00,12365.00,2048.00,1.00,35594.00,17676.00,17918.00,0.00,
Denver,Weekly,"2020-05-03 00:00:00",Organic,1.360000000,42492.00,7837.00,1878.00,1.00,32776.00,15003.00,17774.00,0.00,
Denver,Weekly,"2020-04-26 00:00:00",Organic,1.430000000,43288.00,11432.00,1589.00,0.00,30268.00,17733.00,12535.00,0.00,
Detroit,Weekly,"2020-05-17 00:00:00",Organic,1.570000000,23674.00,880.00,2041.00,0.00,20738.00,7085.00,13653.00,0.00,
Detroit,Weekly,"2020-05-10 00:00:00",Organic,1.520000000,27910.00,497.00,3653.00,0.00,23754.00,5541.00,18212.00,0.00,
Detroit,Weekly,"2020-05-03 00:00:00",Organic,1.450000000,29777.00,566.00,3493.00,0.00,25705.00,7199.00,18506.00,0.00,
Detroit,Weekly,"2020-04-26 00:00:00",Organic,1.610000000,26275.00,546.00,2180.00,0.00,23550.00,9167.00,14382.00,0.00,
"Grand Rapids",Weekly,"2020-05-17 00:00:00",Organic,1.610000000,5850.00,44.00,819.00,0.00,4987.00,4973.00,15.00,0.00,
"Grand Rapids",Weekly,"2020-05-10 00:00:00",Organic,1.560000000,9310.00,66.00,1425.00,0.00,7820.00,7732.00,88.00,0.00,
"Grand Rapids",Weekly,"2020-05-03 00:00:00",Organic,1.540000000,9679.00,48.00,1264.00,0.00,8366.00,8301.00,65.00,0.00,
"Grand Rapids",Weekly,"2020-04-26 00:00:00",Organic,1.530000000,9949.00,26.00,1275.00,0.00,8649.00,8615.00,34.00,0.00,
"Great Lakes",Weekly,"2020-05-17 00:00:00",Organic,1.510000000,286553.00,8418.00,24268.00,0.00,253849.00,88886.00,164964.00,0.00,
"Great Lakes",Weekly,"2020-05-10 00:00:00",Organic,1.500000000,335892.00,8308.00,34895.00,3.00,292679.00,119506.00,173173.00,0.00,
"Great Lakes",Weekly,"2020-05-03 00:00:00",Organic,1.510000000,318935.00,11047.00,37534.00,2.00,270338.00,136244.00,134094.00,0.00,
"Great Lakes",Weekly,"2020-04-26 00:00:00",Organic,1.560000000,316357.00,9350.00,30581.00,0.00,276426.00,116873.00,159553.00,0.00,
Harrisburg/Scranton,Weekly,"2020-05-17 00:00:00",Organic,1.280000000,23023.00,1700.00,823.00,13.00,20487.00,20238.00,249.00,0.00,
Harrisburg/Scranton,Weekly,"2020-05-10 00:00:00",Organic,1.280000000,19984.00,767.00,867.00,3.00,18348.00,18208.00,140.00,0.00,
Harrisburg/Scranton,Weekly,"2020-05-03 00:00:00",Organic,1.240000000,21427.00,432.00,485.00,0.00,20511.00,20392.00,118.00,0.00,
Harrisburg/Scranton,Weekly,"2020-04-26 00:00:00",Organic,1.300000000,25267.00,364.00,485.00,0.00,24418.00,22378.00,2040.00,0.00,
Hartford/Springfield,Weekly,"2020-05-17 00:00:00",Organic,2.030000000,21980.00,2632.00,9397.00,1.00,9949.00,9599.00,350.00,0.00,
Hartford/Springfield,Weekly,"2020-05-10 00:00:00",Organic,2.120000000,19497.00,1571.00,9396.00,0.00,8530.00,8350.00,180.00,0.00,
Hartford/Springfield,Weekly,"2020-05-03 00:00:00",Organic,2.170000000,14770.00,864.00,6994.00,4.00,6908.00,6899.00,9.00,0.00,
Hartford/Springfield,Weekly,"2020-04-26 00:00:00",Organic,2.100000000,16878.00,759.00,7371.00,3.00,8745.00,8682.00,64.00,0.00,
Houston,Weekly,"2020-05-17 00:00:00",Organic,1.290000000,39048.00,5882.00,9.00,0.00,33157.00,14281.00,18877.00,0.00,
Houston,Weekly,"2020-05-10 00:00:00",Organic,1.260000000,38397.00,6957.00,18.00,0.00,31422.00,14255.00,17167.00,0.00,
Houston,Weekly,"2020-05-03 00:00:00",Organic,1.210000000,33869.00,7031.00,0.00,0.00,26838.00,10049.00,16789.00,0.00,
Houston,Weekly,"2020-04-26 00:00:00",Organic,1.240000000,41200.00,7465.00,58.00,0.00,33677.00,14264.00,19413.00,0.00,
Indianapolis,Weekly,"2020-05-17 00:00:00",Organic,1.500000000,11083.00,314.00,801.00,0.00,9967.00,2723.00,7244.00,0.00,
Indianapolis,Weekly,"2020-05-10 00:00:00",Organic,1.410000000,14732.00,344.00,1395.00,0.00,12993.00,3765.00,9227.00,0.00,
Indianapolis,Weekly,"2020-05-03 00:00:00",Organic,1.350000000,14480.00,430.00,1531.00,0.00,12518.00,3818.00,8700.00,0.00,
Indianapolis,Weekly,"2020-04-26 00:00:00",Organic,1.520000000,12251.00,340.00,970.00,0.00,10941.00,3103.00,7838.00,0.00,
Jacksonville,Weekly,"2020-05-17 00:00:00",Organic,1.290000000,4837.00,125.00,275.00,0.00,4437.00,4369.00,68.00,0.00,
Jacksonville,Weekly,"2020-05-10 00:00:00",Organic,1.280000000,4842.00,104.00,244.00,0.00,4494.00,4406.00,88.00,0.00,
Jacksonville,Weekly,"2020-05-03 00:00:00",Organic,1.300000000,4763.00,186.00,270.00,0.00,4308.00,4261.00,46.00,0.00,
Jacksonville,Weekly,"2020-04-26 00:00:00",Organic,1.420000000,5241.00,111.00,357.00,0.00,4772.00,4709.00,63.00,0.00,
"Las Vegas",Weekly,"2020-05-17 00:00:00",Organic,1.470000000,20032.00,772.00,550.00,0.00,18710.00,9018.00,9691.00,0.00,
"Las Vegas",Weekly,"2020-05-10 00:00:00",Organic,1.490000000,19621.00,734.00,571.00,0.00,18316.00,8852.00,9464.00,0.00,
"Las Vegas",Weekly,"2020-05-03 00:00:00",Organic,1.500000000,16043.00,650.00,651.00,0.00,14742.00,6976.00,7766.00,0.00,
"Las Vegas",Weekly,"2020-04-26 00:00:00",Organic,1.490000000,12006.00,459.00,568.00,0.00,10978.00,6349.00,4628.00,0.00,
"Los Angeles",Weekly,"2020-05-17 00:00:00",Organic,1.590000000,216945.00,10646.00,8273.00,11.00,198016.00,76148.00,121867.00,0.00,
"Los Angeles",Weekly,"2020-05-10 00:00:00",Organic,1.470000000,229894.00,12112.00,3655.00,11.00,214115.00,94812.00,119302.00,0.00,
"Los Angeles",Weekly,"2020-05-03 00:00:00",Organic,1.730000000,165443.00,10894.00,16098.00,68.00,138383.00,82228.00,56155.00,0.00,
"Los Angeles",Weekly,"2020-04-26 00:00:00",Organic,1.530000000,196946.00,10716.00,16694.00,46.00,169490.00,73290.00,96199.00,0.00,
Louisville,Weekly,"2020-05-17 00:00:00",Organic,1.240000000,11446.00,4.00,806.00,0.00,10636.00,4283.00,6353.00,0.00,
Louisville,Weekly,"2020-05-10 00:00:00",Organic,1.250000000,12800.00,1.00,1246.00,0.00,11553.00,4053.00,7499.00,0.00,
Louisville,Weekly,"2020-05-03 00:00:00",Organic,1.290000000,13278.00,7.00,1657.00,0.00,11613.00,4219.00,7394.00,0.00,
Louisville,Weekly,"2020-04-26 00:00:00",Organic,1.350000000,15014.00,5.00,1231.00,0.00,13779.00,4598.00,9181.00,0.00,
"Miami/Ft. Lauderdale",Weekly,"2020-05-17 00:00:00",Organic,1.240000000,18090.00,396.00,8.00,0.00,17686.00,17684.00,1.00,0.00,
"Miami/Ft. Lauderdale",Weekly,"2020-05-10 00:00:00",Organic,1.230000000,18286.00,379.00,0.00,0.00,17907.00,17907.00,0.00,0.00,
"Miami/Ft. Lauderdale",Weekly,"2020-05-03 00:00:00",Organic,1.300000000,14662.00,701.00,0.00,0.00,13961.00,13961.00,0.00,0.00,
"Miami/Ft. Lauderdale",Weekly,"2020-04-26 00:00:00",Organic,1.300000000,15016.00,710.00,1.00,0.00,14304.00,14304.00,0.00,0.00,
Midsouth,Weekly,"2020-05-17 00:00:00",Organic,1.450000000,317813.00,3306.00,31349.00,273.00,282884.00,189524.00,93360.00,0.00,
Midsouth,Weekly,"2020-05-10 00:00:00",Organic,1.450000000,339792.00,3226.00,34018.00,304.00,302245.00,183047.00,119198.00,0.00,
Midsouth,Weekly,"2020-05-03 00:00:00",Organic,1.340000000,360779.00,4273.00,37478.00,421.00,318606.00,190820.00,127786.00,0.00,
Midsouth,Weekly,"2020-04-26 00:00:00",Organic,1.460000000,345078.00,1913.00,32589.00,269.00,310307.00,181906.00,128401.00,0.00,
Nashville,Weekly,"2020-05-17 00:00:00",Organic,1.540000000,17421.00,112.00,1167.00,0.00,16142.00,3245.00,12898.00,0.00,
Nashville,Weekly,"2020-05-10 00:00:00",Organic,1.550000000,22875.00,85.00,2368.00,0.00,20423.00,1776.00,18647.00,0.00,
Nashville,Weekly,"2020-05-03 00:00:00",Organic,1.500000000,22999.00,73.00,2970.00,0.00,19956.00,3220.00,16736.00,0.00,
Nashville,Weekly,"2020-04-26 00:00:00",Organic,1.580000000,21597.00,40.00,1629.00,0.00,19927.00,2778.00,17149.00,0.00,
"New Orleans/Mobile",Weekly,"2020-05-17 00:00:00",Organic,1.370000000,3744.00,484.00,0.00,0.00,3260.00,3213.00,47.00,0.00,
"New Orleans/Mobile",Weekly,"2020-05-10 00:00:00",Organic,1.320000000,2844.00,656.00,0.00,0.00,2188.00,2171.00,17.00,0.00,
"New Orleans/Mobile",Weekly,"2020-05-03 00:00:00",Organic,1.350000000,4638.00,681.00,0.00,0.00,3957.00,3933.00,24.00,0.00,
"New Orleans/Mobile",Weekly,"2020-04-26 00:00:00",Organic,1.370000000,4678.00,574.00,0.00,0.00,4104.00,3963.00,141.00,0.00,
"New York",Weekly,"2020-05-17 00:00:00",Organic,1.790000000,155461.00,27955.00,29457.00,168.00,97881.00,92520.00,5360.00,0.00,
"New York",Weekly,"2020-05-10 00:00:00",Organic,1.980000000,120055.00,25518.00,28169.00,267.00,66101.00,61342.00,4759.00,0.00,
"New York",Weekly,"2020-05-03 00:00:00",Organic,2.000000000,86400.00,13127.00,14554.00,862.00,57857.00,56028.00,1829.00,0.00,
"New York",Weekly,"2020-04-26 00:00:00",Organic,1.850000000,102376.00,12526.00,12540.00,734.00,76575.00,71672.00,4899.00,4.00,
Northeast,Weekly,"2020-05-17 00:00:00",Organic,1.710000000,384318.00,47029.00,57842.00,210.00,279237.00,252700.00,26537.00,0.00,
Northeast,Weekly,"2020-05-10 00:00:00",Organic,1.810000000,341957.00,46765.00,58270.00,268.00,236654.00,210722.00,25932.00,0.00,
Northeast,Weekly,"2020-05-03 00:00:00",Organic,1.770000000,290609.00,26247.00,34728.00,777.00,228857.00,205582.00,23275.00,0.00,
Northeast,Weekly,"2020-04-26 00:00:00",Organic,1.700000000,321121.00,24558.00,32946.00,668.00,262949.00,230901.00,32045.00,3.00,
"Northern New England",Weekly,"2020-05-17 00:00:00",Organic,1.750000000,33038.00,58.00,830.00,0.00,32149.00,19090.00,13059.00,0.00,
"Northern New England",Weekly,"2020-05-10 00:00:00",Organic,1.770000000,33376.00,107.00,945.00,0.00,32324.00,18986.00,13338.00,0.00,
"Northern New England",Weekly,"2020-05-03 00:00:00",Organic,1.770000000,34957.00,66.00,922.00,0.00,33969.00,19021.00,14949.00,0.00,
"Northern New England",Weekly,"2020-04-26 00:00:00",Organic,1.700000000,30835.00,103.00,988.00,0.00,29743.00,15661.00,14083.00,0.00,
Orlando,Weekly,"2020-05-17 00:00:00",Organic,1.190000000,14563.00,218.00,0.00,0.00,14345.00,14345.00,0.00,0.00,
Orlando,Weekly,"2020-05-10 00:00:00",Organic,1.210000000,13344.00,361.00,2.00,0.00,12981.00,12981.00,0.00,0.00,
Orlando,Weekly,"2020-05-03 00:00:00",Organic,1.200000000,11761.00,260.00,0.00,0.00,11500.00,11500.00,0.00,0.00,
Orlando,Weekly,"2020-04-26 00:00:00",Organic,1.220000000,12710.00,467.00,3.00,0.00,12240.00,12240.00,0.00,0.00,
Philadelphia,Weekly,"2020-05-17 00:00:00",Organic,1.740000000,36968.00,5045.00,5132.00,25.00,26766.00,22885.00,3881.00,0.00,
Philadelphia,Weekly,"2020-05-10 00:00:00",Organic,1.790000000,37497.00,4226.00,7243.00,7.00,26020.00,22635.00,3386.00,0.00,
Philadelphia,Weekly,"2020-05-03 00:00:00",Organic,1.710000000,36288.00,2638.00,4776.00,2.00,28871.00,26579.00,2292.00,0.00,
Philadelphia,Weekly,"2020-04-26 00:00:00",Organic,1.650000000,42900.00,2552.00,4456.00,5.00,35887.00,31272.00,4615.00,0.00,
Phoenix/Tucson,Weekly,"2020-05-17 00:00:00",Organic,1.420000000,30550.00,2152.00,1231.00,0.00,27168.00,12364.00,14804.00,0.00,
Phoenix/Tucson,Weekly,"2020-05-10 00:00:00",Organic,1.420000000,31947.00,2129.00,1474.00,0.00,28344.00,13724.00,14620.00,0.00,
Phoenix/Tucson,Weekly,"2020-05-03 00:00:00",Organic,1.500000000,26213.00,2264.00,2285.00,1.00,21663.00,9923.00,11740.00,0.00,
Phoenix/Tucson,Weekly,"2020-04-26 00:00:00",Organic,1.540000000,21310.00,1966.00,1252.00,2.00,18089.00,8394.00,9695.00,0.00,
Pittsburgh,Weekly,"2020-05-17 00:00:00",Organic,1.100000000,18529.00,2977.00,10.00,0.00,15542.00,15542.00,0.00,0.00,
Pittsburgh,Weekly,"2020-05-10 00:00:00",Organic,1.070000000,16057.00,3259.00,3.00,0.00,12795.00,12750.00,45.00,0.00,
Pittsburgh,Weekly,"2020-05-03 00:00:00",Organic,1.110000000,17196.00,3940.00,30.00,0.00,13226.00,13192.00,34.00,0.00,
Pittsburgh,Weekly,"2020-04-26 00:00:00",Organic,1.090000000,17757.00,3455.00,13.00,0.00,14288.00,14283.00,6.00,0.00,
Plains,Weekly,"2020-05-17 00:00:00",Organic,1.530000000,70586.00,12051.00,3114.00,19.00,55403.00,45975.00,9427.00,0.00,
Plains,Weekly,"2020-05-10 00:00:00",Organic,1.540000000,74189.00,11896.00,4003.00,34.00,58257.00,47000.00,11258.00,0.00,
Plains,Weekly,"2020-05-03 00:00:00",Organic,1.610000000,59650.00,13220.00,3174.00,40.00,43217.00,33122.00,10094.00,0.00,
Plains,Weekly,"2020-04-26 00:00:00",Organic,1.710000000,62868.00,15331.00,4451.00,25.00,43061.00,31198.00,11863.00,0.00,
Portland,Weekly,"2020-05-17 00:00:00",Organic,1.890000000,57251.00,507.00,12578.00,0.00,44166.00,12244.00,31922.00,0.00,
Portland,Weekly,"2020-05-10 00:00:00",Organic,1.680000000,69197.00,326.00,10906.00,22.00,57943.00,11082.00,46838.00,23.00,
Portland,Weekly,"2020-05-03 00:00:00",Organic,1.690000000,65595.00,355.00,8550.00,0.00,56690.00,22554.00,34117.00,19.00,
Portland,Weekly,"2020-04-26 00:00:00",Organic,1.850000000,56926.00,233.00,7768.00,0.00,48925.00,11659.00,37266.00,0.00,
Raleigh/Greensboro,Weekly,"2020-05-17 00:00:00",Organic,1.460000000,30748.00,1032.00,3786.00,98.00,25833.00,22848.00,2985.00,0.00,
Raleigh/Greensboro,Weekly,"2020-05-10 00:00:00",Organic,1.480000000,28391.00,928.00,3564.00,129.00,23770.00,19265.00,4505.00,0.00,
Raleigh/Greensboro,Weekly,"2020-05-03 00:00:00",Organic,1.250000000,34929.00,1473.00,3962.00,151.00,29343.00,22554.00,6789.00,0.00,
Raleigh/Greensboro,Weekly,"2020-04-26 00:00:00",Organic,1.550000000,24193.00,525.00,4282.00,92.00,19294.00,14344.00,4950.00,0.00,
Richmond/Norfolk,Weekly,"2020-05-17 00:00:00",Organic,1.410000000,20498.00,24.00,2076.00,10.00,18388.00,11247.00,7141.00,0.00,
Richmond/Norfolk,Weekly,"2020-05-10 00:00:00",Organic,1.430000000,23823.00,70.00,2425.00,3.00,21325.00,10671.00,10654.00,0.00,
Richmond/Norfolk,Weekly,"2020-05-03 00:00:00",Organic,1.290000000,24957.00,24.00,2684.00,19.00,22230.00,6726.00,15504.00,0.00,
Richmond/Norfolk,Weekly,"2020-04-26 00:00:00",Organic,1.420000000,27336.00,52.00,2261.00,13.00,25011.00,9092.00,15918.00,0.00,
Roanoke,Weekly,"2020-05-17 00:00:00",Organic,1.270000000,20826.00,23.00,2005.00,0.00,18798.00,7773.00,11025.00,0.00,
Roanoke,Weekly,"2020-05-10 00:00:00",Organic,1.320000000,21334.00,24.00,2200.00,0.00,19110.00,7590.00,11519.00,0.00,
Roanoke,Weekly,"2020-05-03 00:00:00",Organic,1.270000000,20268.00,43.00,2369.00,0.00,17855.00,6958.00,10897.00,0.00,
Roanoke,Weekly,"2020-04-26 00:00:00",Organic,1.350000000,19467.00,48.00,1593.00,0.00,17826.00,7230.00,10595.00,0.00,
Sacramento,Weekly,"2020-05-17 00:00:00",Organic,1.870000000,18161.00,3511.00,3421.00,7.00,11223.00,11198.00,25.00,0.00,
Sacramento,Weekly,"2020-05-10 00:00:00",Organic,1.970000000,16145.00,3757.00,3722.00,1.00,8665.00,8548.00,117.00,0.00,
Sacramento,Weekly,"2020-05-03 00:00:00",Organic,1.960000000,14789.00,3311.00,3821.00,14.00,7643.00,7049.00,594.00,0.00,
Sacramento,Weekly,"2020-04-26 00:00:00",Organic,1.900000000,16436.00,4568.00,4363.00,6.00,7499.00,6526.00,973.00,0.00,
"San Diego",Weekly,"2020-05-17 00:00:00",Organic,1.810000000,43803.00,1081.00,3166.00,2.00,39554.00,10400.00,29155.00,0.00,
"San Diego",Weekly,"2020-05-10 00:00:00",Organic,1.670000000,43958.00,1425.00,1892.00,0.00,40641.00,15060.00,25581.00,0.00,
"San Diego",Weekly,"2020-05-03 00:00:00",Organic,1.930000000,36465.00,1322.00,6387.00,0.00,28755.00,12242.00,16513.00,0.00,
"San Diego",Weekly,"2020-04-26 00:00:00",Organic,1.790000000,35800.00,1468.00,5460.00,2.00,28869.00,9311.00,19559.00,0.00,
"San Francisco",Weekly,"2020-05-17 00:00:00",Organic,1.950000000,73885.00,8549.00,6290.00,17.00,59029.00,58763.00,266.00,0.00,
"San Francisco",Weekly,"2020-05-10 00:00:00",Organic,2.150000000,58080.00,9335.00,6717.00,16.00,42012.00,41315.00,697.00,0.00,
"San Francisco",Weekly,"2020-05-03 00:00:00",Organic,2.260000000,49612.00,10945.00,6584.00,1.00,32082.00,29931.00,2151.00,0.00,
"San Francisco",Weekly,"2020-04-26 00:00:00",Organic,1.910000000,38434.00,4222.00,9822.00,0.00,24390.00,23471.00,919.00,0.00,
Seattle,Weekly,"2020-05-17 00:00:00",Organic,2.070000000,72953.00,829.00,12352.00,8.00,59764.00,9096.00,50669.00,0.00,
Seattle,Weekly,"2020-05-10 00:00:00",Organic,1.730000000,127307.00,795.00,25993.00,73.00,100446.00,10550.00,89894.00,3.00,
Seattle,Weekly,"2020-05-03 00:00:00",Organic,1.720000000,122423.00,932.00,20420.00,4.00,101066.00,45756.00,55243.00,68.00,
Seattle,Weekly,"2020-04-26 00:00:00",Organic,2.090000000,63464.00,729.00,14706.00,5.00,48023.00,6937.00,41086.00,0.00,
"South Carolina",Weekly,"2020-05-17 00:00:00",Organic,1.490000000,31574.00,793.00,3257.00,69.00,27454.00,10073.00,17381.00,0.00,
"South Carolina",Weekly,"2020-05-10 00:00:00",Organic,1.500000000,31430.00,749.00,3210.00,54.00,27416.00,4717.00,22699.00,0.00,
"South Carolina",Weekly,"2020-05-03 00:00:00",Organic,1.380000000,32310.00,953.00,3803.00,73.00,27481.00,8296.00,19185.00,0.00,
"South Carolina",Weekly,"2020-04-26 00:00:00",Organic,1.520000000,28346.00,270.00,3122.00,15.00,24939.00,9097.00,15842.00,0.00,
"South Central",Weekly,"2020-05-17 00:00:00",Organic,1.330000000,225767.00,21848.00,2634.00,3764.00,197521.00,110974.00,86548.00,0.00,
"South Central",Weekly,"2020-05-10 00:00:00",Organic,1.300000000,228791.00,28437.00,2783.00,2670.00,194902.00,104649.00,90253.00,0.00,
"South Central",Weekly,"2020-05-03 00:00:00",Organic,1.280000000,207378.00,27139.00,3228.00,3048.00,173964.00,80285.00,93678.00,0.00,
"South Central",Weekly,"2020-04-26 00:00:00",Organic,1.320000000,231138.00,26973.00,2760.00,4463.00,196942.00,110378.00,86564.00,0.00,
Southeast,Weekly,"2020-05-17 00:00:00",Organic,1.360000000,181469.00,2845.00,8906.00,60.00,169657.00,111142.00,58514.00,0.00,
Southeast,Weekly,"2020-05-10 00:00:00",Organic,1.380000000,188370.00,2798.00,10845.00,47.00,174681.00,95611.00,79070.00,0.00,
Southeast,Weekly,"2020-05-03 00:00:00",Organic,1.360000000,176887.00,3686.00,13022.00,63.00,160116.00,95503.00,64613.00,0.00,
Southeast,Weekly,"2020-04-26 00:00:00",Organic,1.460000000,184647.00,3084.00,10270.00,15.00,171279.00,98333.00,72945.00,0.00,
Spokane,Weekly,"2020-05-17 00:00:00",Organic,1.850000000,8283.00,53.00,1212.00,0.00,7019.00,3269.00,3749.00,0.00,
Spokane,Weekly,"2020-05-10 00:00:00",Organic,1.850000000,10083.00,94.00,1487.00,0.00,8503.00,2827.00,5676.00,0.00,
Spokane,Weekly,"2020-05-03 00:00:00",Organic,1.800000000,8929.00,13.00,870.00,0.00,8046.00,3467.00,4579.00,0.00,
Spokane,Weekly,"2020-04-26 00:00:00",Organic,1.880000000,7690.00,17.00,759.00,0.00,6914.00,1595.00,5318.00,0.00,
"St. Louis",Weekly,"2020-05-17 00:00:00",Organic,2.020000000,8478.00,1536.00,1468.00,0.00,5473.00,3373.00,2100.00,0.00,
"St. Louis",Weekly,"2020-05-10 00:00:00",Organic,2.060000000,9686.00,1763.00,1735.00,7.00,6181.00,3579.00,2602.00,0.00,
"St. Louis",Weekly,"2020-05-03 00:00:00",Organic,2.020000000,9268.00,1915.00,1572.00,10.00,5771.00,3566.00,2205.00,0.00,
"St. Louis",Weekly,"2020-04-26 00:00:00",Organic,2.210000000,10067.00,1586.00,2320.00,6.00,6156.00,2961.00,3195.00,0.00,
Syracuse,Weekly,"2020-05-17 00:00:00",Organic,1.630000000,1798.00,249.00,143.00,0.00,1407.00,1111.00,295.00,0.00,
Syracuse,Weekly,"2020-05-10 00:00:00",Organic,1.510000000,2043.00,306.00,198.00,6.00,1533.00,1164.00,369.00,0.00,
Syracuse,Weekly,"2020-05-03 00:00:00",Organic,1.620000000,2062.00,181.00,133.00,0.00,1747.00,1231.00,517.00,0.00,
Syracuse,Weekly,"2020-04-26 00:00:00",Organic,1.680000000,2862.00,400.00,173.00,6.00,2283.00,1758.00,525.00,0.00,
Tampa,Weekly,"2020-05-17 00:00:00",Organic,1.190000000,14134.00,200.00,0.00,0.00,13933.00,13933.00,0.00,0.00,
Tampa,Weekly,"2020-05-10 00:00:00",Organic,1.200000000,13095.00,262.00,0.00,0.00,12832.00,12832.00,0.00,0.00,
