Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Hartford/Springfield,Weekly,"2021-02-14 00:00:00",Conventional,1.234606414,412766.92,10860.74,296458.83,244.47,94331.10,88267.19,5597.55,0.00,10871.79
Houston,Weekly,"2021-02-14 00:00:00",Conventional,0.664240108,1407363.94,539813.90,262400.47,4013.05,244556.78,217156.44,122.85,25593.15,356579.73
Indianapolis,Weekly,"2021-02-14 00:00:00",Conventional,0.825333143,252512.93,51226.43,63755.23,363.76,56180.31,47152.81,4520.25,3379.56,80987.21
Jacksonville,Weekly,"2021-02-14 00:00:00",Conventional,0.869029610,257992.11,125498.85,9156.01,67.77,75055.64,69508.03,5472.34,0.00,48213.84
"Las Vegas",Weekly,"2021-02-14 00:00:00",Conventional,0.858239946,450242.18,72638.38,37594.01,981.23,142704.62,119006.27,15.75,10358.18,196323.93
"Los Angeles",Weekly,"2021-02-14 00:00:00",Conventional,1.119214142,3033911.27,493673.02,49297.63,235480.32,708613.62,618346.17,25275.60,48157.78,1546846.69
Louisville,Weekly,"2021-02-14 00:00:00",Conventional,0.895513142,146490.14,22445.29,21142.67,42.84,35997.57,30324.00,4354.88,424.92,66861.78
"Miami/Ft. Lauderdale",Weekly,"2021-02-14 00:00:00",Conventional,0.863099396,1129733.93,532434.49,42183.17,147.85,287241.26,261198.26,2276.27,23357.25,267727.17
Nashville,Weekly,"2021-02-14 00:00:00",Conventional,0.871551500,324390.91,100785.10,21818.72,12.71,86867.67,75298.55,7011.90,2017.08,114906.72
"Northern New England",Weekly,"2021-02-14 00:00:00",Conventional,0.994154605,609573.23,13703.16,393801.87,97.34,76545.86,62646.18,13777.39,3.15,125425.00
"New Orleans/Mobile",Weekly,"2021-02-14 00:00:00",Conventional,0.744099038,344181.36,150441.25,18110.86,45.95,124027.32,104920.84,3799.69,13526.10,51555.99
"New York",Weekly,"2021-02-14 00:00:00",Conventional,1.044933415,2412844.79,66211.42,1413677.69,1172.01,834502.08,768458.71,12557.65,0.00,97281.59
Orlando,Weekly,"2021-02-14 00:00:00",Conventional,0.838329803,662693.95,274226.98,14216.16,78.26,216057.80,197754.94,6825.92,11273.85,158114.75
Peoria/Springfield,Weekly,"2021-02-14 00:00:00",Conventional,0.795859088,134555.76,39393.00,26887.60,119.20,36333.36,29397.31,3578.40,3106.40,31822.59
Philadelphia,Weekly,"2021-02-14 00:00:00",Conventional,0.932363531,801083.43,155003.23,260544.08,186.08,319308.52,247201.48,7153.65,699.30,66041.53
Phoenix/Tucson,Weekly,"2021-02-14 00:00:00",Conventional,0.699865413,1451406.61,308907.75,250987.73,4529.05,187609.79,139157.94,40.95,35057.31,699372.29
Pittsburgh,Weekly,"2021-02-14 00:00:00",Conventional,1.128196541,120452.63,30340.26,12283.34,8.52,44587.35,39957.25,0.00,4583.25,33233.16
Portland,Weekly,"2021-02-14 00:00:00",Conventional,1.063150859,713065.50,108462.95,88925.76,4870.89,90118.87,85012.62,1352.53,2453.67,420687.04
Providence,Weekly,"2021-02-14 00:00:00",Conventional,1.227722688,129353.71,3584.83,69836.58,43.71,17451.62,14959.88,2394.28,0.00,38436.97
Raleigh/Greensboro,Weekly,"2021-02-14 00:00:00",Conventional,1.020599710,442105.10,197454.26,60156.54,4110.31,156507.92,113178.13,16297.58,0.00,23876.07
Richmond/Norfolk,Weekly,"2021-02-14 00:00:00",Conventional,0.988117718,326919.63,83511.69,77306.98,806.52,78296.04,50014.18,208.43,10801.56,86998.40
Roanoke,Weekly,"2021-02-14 00:00:00",Conventional,0.951739659,197394.01,56319.28,31568.18,57.78,47291.24,32815.77,3727.76,4819.66,62157.53
Sacramento,Weekly,"2021-02-14 00:00:00",Conventional,1.060205575,517252.46,146816.22,184478.20,4040.36,104194.55,99517.51,40.95,0.00,77723.13
"San Diego",Weekly,"2021-02-14 00:00:00",Conventional,1.175010010,522952.71,88067.82,25109.87,23396.02,107456.50,97618.37,5647.95,3408.44,278922.50
"San Francisco",Weekly,"2021-02-14 00:00:00",Conventional,1.416765862,710939.21,178557.00,147846.37,7565.00,157903.03,141636.24,18.90,0.00,219067.81
Seattle,Weekly,"2021-02-14 00:00:00",Conventional,1.238677013,601871.63,80129.86,77085.15,244.96,76069.44,71375.80,655.99,2452.31,368342.23
"South Carolina",Weekly,"2021-02-14 00:00:00",Conventional,0.932127181,530379.67,235364.73,42305.87,1370.31,158087.25,122095.65,22594.03,799.24,93251.51
Spokane,Weekly,"2021-02-14 00:00:00",Conventional,1.012136153,84566.13,19327.32,11110.70,78.56,14617.34,13963.62,496.52,0.00,39432.21
"St. Louis",Weekly,"2021-02-14 00:00:00",Conventional,0.764274506,234885.24,106395.89,11031.34,32.74,66422.01,59116.34,6993.00,0.00,51003.25
Syracuse,Weekly,"2021-02-14 00:00:00",Conventional,1.053670602,94399.32,9491.97,43166.43,385.65,36856.02,34788.73,1946.70,0.00,4499.25
Tampa,Weekly,"2021-02-14 00:00:00",Conventional,0.805696505,664529.60,277929.52,18871.38,12.29,199242.12,180905.96,6.30,18052.65,168474.30
Toledo,Weekly,"2021-02-14 00:00:00",Conventional,0.818767058,139631.81,24471.82,29698.08,8262.50,28522.25,22471.08,1039.89,4448.33,48677.16
"West Tex/New Mexico",Weekly,"2021-02-14 00:00:00",Conventional,0.694150716,1126324.10,422907.85,116536.79,8687.90,352572.20,295558.30,5847.98,50353.92,225619.37
Wichita,Weekly,"2021-02-14 00:00:00",Conventional,0.749128823,126346.04,28609.33,7689.92,1.09,37505.52,34917.24,267.36,1131.69,52540.17
California,Weekly,"2021-02-14 00:00:00",Conventional,1.159434749,6076395.06,1283672.73,637959.88,301668.72,1347203.29,1190953.05,33226.20,54923.15,2505890.45
"Great Lakes",Weekly,"2021-02-14 00:00:00",Conventional,0.936757920,3994364.42,738209.17,842231.60,232515.10,859790.73,742053.62,24986.27,79074.14,1321617.82
Midsouth,Weekly,"2021-02-14 00:00:00",Conventional,0.972658917,4348166.42,1366139.79,781238.81,14626.51,1369774.09,997751.92,81282.08,56264.28,816387.22
Northeast,Weekly,"2021-02-14 00:00:00",Conventional,1.049859829,6768884.69,560767.87,3500893.86,6809.20,2009675.07,1796340.21,82801.60,13642.65,690738.69
Plains,Weekly,"2021-02-14 00:00:00",Conventional,0.891477780,2151095.44,691439.64,483652.85,1257.83,669974.50,529426.56,37370.77,51184.28,304770.61
"South Central",Weekly,"2021-02-14 00:00:00",Conventional,0.692704241,7275889.21,3009068.53,884261.37,113170.54,1864070.69,1609026.93,78042.30,147335.16,1405318.09
Southeast,Weekly,"2021-02-14 00:00:00",Conventional,0.843990717,5978498.36,2574809.71,243251.49,2249.52,1690664.15,1484575.81,94349.19,84559.13,1467523.48
West,Weekly,"2021-02-14 00:00:00",Conventional,0.883461075,7721531.39,1738533.97,983303.67,22892.72,1550775.28,1253684.06,41043.00,140072.14,3426025.74
"Total U.S.",Weekly,"2021-02-14 00:00:00",Conventional,0.924019483,44314825.00,11962641.41,8356793.53,695190.15,11361927.80,9603812.14,473101.41,627054.93,11938272.11
Albany,Weekly,"2021-02-14 00:00:00",Organic,1.388618059,3223.78,48.83,292.93,0.00,2747.50,2584.69,0.00,0.00,134.52
Atlanta,Weekly,"2021-02-14 00:00:00",Organic,1.539678610,32147.09,69.08,2557.52,0.00,12752.57,12752.57,0.00,0.00,16767.93
Baltimore/Washington,Weekly,"2021-02-14 00:00:00",Organic,1.241698092,83088.14,437.18,3755.64,0.00,75360.39,75309.07,0.00,0.00,3534.93
Birmingham/Montgomery,Weekly,"2021-02-14 00:00:00",Organic,1.175071437,12266.28,127.33,206.91,0.00,11316.82,10705.01,611.81,0.00,615.23
Boise,Weekly,"2021-02-14 00:00:00",Organic,1.659521426,6327.16,13.96,712.10,0.00,1558.20,1558.20,0.00,0.00,4042.90
Boston,Weekly,"2021-02-14 00:00:00",Organic,1.753878860,38571.52,114.59,2044.59,0.00,35049.74,34968.21,0.00,0.00,1362.60
Buffalo/Rochester,Weekly,"2021-02-14 00:00:00",Organic,1.558131639,14368.28,814.46,88.93,8.89,13455.99,13455.99,0.00,0.00,0.00
Charlotte,Weekly,"2021-02-14 00:00:00",Organic,1.445345110,20461.10,57.35,3640.00,40.71,7717.56,7717.56,0.00,0.00,9005.47
Chicago,Weekly,"2021-02-14 00:00:00",Organic,1.251839875,86136.22,848.35,15080.80,0.00,21276.94,20819.14,457.80,0.00,48930.14
Cincinnati/Dayton,Weekly,"2021-02-14 00:00:00",Organic,1.632632556,18538.91,516.89,2717.28,0.00,3126.94,2816.20,310.74,0.00,12177.80
Columbus,Weekly,"2021-02-14 00:00:00",Organic,1.553707737,10887.48,693.94,929.30,0.00,3859.46,3448.95,410.51,0.00,5404.78
"Dallas/Ft. Worth",Weekly,"2021-02-14 00:00:00",Organic,1.382659849,75771.89,4024.44,1847.07,467.16,30909.83,30906.68,0.00,3.15,38523.39
Denver,Weekly,"2021-02-14 00:00:00",Organic,1.368803906,41166.49,4067.59,743.10,0.00,11400.77,11400.77,0.00,0.00,24955.03
Detroit,Weekly,"2021-02-14 00:00:00",Organic,1.229751102,22061.29,206.58,2133.28,0.00,12726.53,12572.05,154.47,0.00,6994.89
"Grand Rapids",Weekly,"2021-02-14 00:00:00",Organic,1.138758715,7598.81,25.38,749.18,0.00,6824.25,6401.86,402.28,0.00,0.00
Harrisburg/Scranton,Weekly,"2021-02-14 00:00:00",Organic,1.204440683,22651.76,873.19,601.80,0.00,21173.65,21033.93,0.00,3.15,3.12
Hartford/Springfield,Weekly,"2021-02-14 00:00:00",Organic,1.895024446,19412.63,293.92,7315.20,0.00,11773.91,11484.18,0.00,0.00,29.60
Houston,Weekly,"2021-02-14 00:00:00",Organic,1.476283393,19542.07,4553.77,357.93,0.00,3391.89,3391.89,0.00,0.00,11238.48
Indianapolis,Weekly,"2021-02-14 00:00:00",Organic,1.461143970,10035.85,185.80,921.30,0.00,4799.08,3974.15,824.92,0.00,4129.68
Jacksonville,Weekly,"2021-02-14 00:00:00",Organic,1.189153788,9107.22,56.32,219.01,0.00,8712.13,8712.13,0.00,0.00,119.75
"Las Vegas",Weekly,"2021-02-14 00:00:00",Organic,1.485648724,16378.97,614.85,291.05,0.00,7149.98,7149.98,0.00,0.00,8323.10
"Los Angeles",Weekly,"2021-02-14 00:00:00",Organic,1.753465566,133419.23,5666.72,3257.35,11.19,50474.68,49319.68,1155.00,0.00,74009.30
Louisville,Weekly,"2021-02-14 00:00:00",Organic,1.708693724,5615.25,4.22,630.47,0.00,1411.08,1303.66,107.42,0.00,3569.48
"Miami/Ft. Lauderdale",Weekly,"2021-02-14 00:00:00",Organic,1.106825968,43812.27,386.59,1.14,0.00,41645.71,41645.71,0.00,0.00,1778.83
Nashville,Weekly,"2021-02-14 00:00:00",Organic,1.526667210,15102.94,40.68,1258.38,0.00,6606.57,6606.57,0.00,0.00,7197.31
"Northern New England",Weekly,"2021-02-14 00:00:00",Organic,1.641307270,18737.98,66.79,563.37,0.00,16304.51,16237.87,0.00,0.00,1803.30
"New Orleans/Mobile",Weekly,"2021-02-14 00:00:00",Organic,1.032564003,15147.88,63.54,204.97,0.00,13200.88,11402.35,1798.53,0.00,1678.49
"New York",Weekly,"2021-02-14 00:00:00",Organic,1.511603311,126393.85,9469.93,7490.90,608.63,101634.49,94703.62,4.90,0.00,7189.90
Orlando,Weekly,"2021-02-14 00:00:00",Organic,1.107561043,27373.76,83.69,0.00,0.00,27035.47,27035.47,0.00,0.00,254.60
Peoria/Springfield,Weekly,"2021-02-14 00:00:00",Organic,1.413954207,3772.14,39.83,303.75,0.00,2567.15,2567.15,0.00,0.00,861.40
Philadelphia,Weekly,"2021-02-14 00:00:00",Organic,1.558754627,28686.57,1705.80,3191.79,0.00,20574.98,18209.62,0.00,0.00,3213.99
Phoenix/Tucson,Weekly,"2021-02-14 00:00:00",Organic,1.299930597,29170.68,3774.37,2095.33,0.00,15183.32,15178.67,0.00,0.00,8117.66
Pittsburgh,Weekly,"2021-02-14 00:00:00",Organic,1.308299644,12092.95,1915.94,4.25,0.00,9326.14,9326.14,0.00,0.00,846.62
Portland,Weekly,"2021-02-14 00:00:00",Organic,1.666659313,45882.88,423.34,9281.26,0.00,5031.39,4368.26,0.00,0.00,31146.87
Providence,Weekly,"2021-02-14 00:00:00",Organic,1.703133757,5623.40,3.90,14.85,0.00,5599.45,5593.15,0.00,0.00,5.20
Raleigh/Greensboro,Weekly,"2021-02-14 00:00:00",Organic,1.417889456,25224.79,737.00,3492.99,61.85,10082.55,10082.55,0.00,0.00,10850.40
Richmond/Norfolk,Weekly,"2021-02-14 00:00:00",Organic,0.999068964,32462.68,3.28,1533.18,14.22,22278.19,22268.74,0.00,9.45,8633.82
Roanoke,Weekly,"2021-02-14 00:00:00",Organic,1.119636698,13700.14,20.68,1128.00,0.00,8731.95,8731.95,0.00,0.00,3819.51
Sacramento,Weekly,"2021-02-14 00:00:00",Organic,1.604020763,25867.47,3846.64,3370.26,4.95,14949.94,13958.64,0.00,0.00,3695.67
"San Diego",Weekly,"2021-02-14 00:00:00",Organic,1.765682229,34020.28,881.03,1453.50,0.00,16688.49,16562.57,0.00,0.00,14997.26
"San Francisco",Weekly,"2021-02-14 00:00:00",Organic,1.800548934,81348.98,3091.77,6319.55,0.00,51967.18,46885.46,0.00,0.00,19970.47
Seattle,Weekly,"2021-02-14 00:00:00",Organic,1.398527400,100676.54,1063.03,13911.53,83.17,13009.21,9336.86,0.00,0.00,72609.60
"South Carolina",Weekly,"2021-02-14 00:00:00",Organic,1.433473513,24258.70,798.80,2529.13,86.25,11911.91,11911.91,0.00,0.00,8932.62
Spokane,Weekly,"2021-02-14 00:00:00",Organic,1.874094947,4587.53,95.41,769.99,0.00,904.44,904.44,0.00,0.00,2817.69
"St. Louis",Weekly,"2021-02-14 00:00:00",Organic,1.662255042,5858.66,590.88,626.98,0.00,3699.54,3699.54,0.00,0.00,941.26
Syracuse,Weekly,"2021-02-14 00:00:00",Organic,1.511559361,4259.93,220.72,83.00,0.00,3903.53,3889.40,0.00,0.00,52.67
Tampa,Weekly,"2021-02-14 00:00:00",Organic,0.951236175,24135.52,115.40,0.00,0.00,23804.87,23801.72,0.00,3.15,215.25
Toledo,Weekly,"2021-02-14 00:00:00",Organic,1.397026359,4563.61,63.65,479.68,0.00,2109.64,2034.54,75.11,0.00,1910.63
"West Tex/New Mexico",Weekly,"2021-02-14 00:00:00",Organic,1.143011133,31643.25,1583.88,706.86,2758.56,21562.14,21562.14,0.00,0.00,5031.82
Wichita,Weekly,"2021-02-14 00:00:00",Organic,1.366841843,3092.19,346.29,8.73,0.00,864.68,864.68,0.00,0.00,1872.49
California,Weekly,"2021-02-14 00:00:00",Organic,1.742132918,341638.55,19140.97,22076.89,17.43,168739.03,153983.09,1155.00,0.00,131664.23
"Great Lakes",Weekly,"2021-02-14 00:00:00",Organic,1.344604612,214777.21,5606.07,30277.36,0.00,87376.05,83516.77,3815.59,3.15,91517.73
Midsouth,Weekly,"2021-02-14 00:00:00",Organic,1.291691662,272104.53,2179.95,23619.92,146.34,172776.92,172321.53,156.58,9.45,73381.40
Northeast,Weekly,"2021-02-14 00:00:00",Organic,1.544027958,321258.26,17292.04,24145.77,625.79,264218.40,253366.22,4.90,3.15,14976.26
Plains,Weekly,"2021-02-14 00:00:00",Organic,1.362677616,45383.13,6653.84,1801.82,17.16,31241.52,30782.67,443.98,3.15,5668.79
"South Central",Weekly,"2021-02-14 00:00:00",Organic,1.315687247,203052.01,13287.36,11538.51,2439.67,109171.12,107797.69,1363.98,9.45,66615.35
Southeast,Weekly,"2021-02-14 00:00:00",Organic,1.213010679,226683.18,2234.34,7574.02,97.92,180877.37,179359.64,1514.58,3.15,35899.52
West,Weekly,"2021-02-14 00:00:00",Organic,1.448447480,359423.94,18246.61,37173.53,1627.27,99205.30,93976.77,0.00,0.00,203171.23
"Total U.S.",Weekly,"2021-02-14 00:00:00",Organic,1.439307798,1984320.81,84641.20,158207.81,4971.58,1113605.70,1075104.37,8454.62,31.50,622894.52
Albany,Weekly,"2021-02-21 00:00:00",Conventional,1.037516059,143015.41,7130.45,104138.69,37.16,25241.98,22965.34,2085.30,0.00,6467.13
Atlanta,Weekly,"2021-02-21 00:00:00",Conventional,0.901508884,805380.07,338698.84,31720.56,91.30,185148.81,168467.76,12724.82,1791.34,249720.56
Baltimore/Washington,Weekly,"2021-02-21 00:00:00",Conventional,1.158572299,977854.42,235373.34,298041.23,3980.51,342282.06,272632.63,9.45,19826.10,98177.28
Birmingham/Montgomery,Weekly,"2021-02-21 00:00:00",Conventional,0.845782756,379252.25,192595.34,9901.78,10.62,100138.26,85840.61,10931.68,2070.30,76606.25
Boise,Weekly,"2021-02-21 00:00:00",Conventional,0.890611887,139094.47,37208.60,8797.37,918.21,28432.97,22108.42,9.45,381.08,63737.32
Boston,Weekly,"2021-02-21 00:00:00",Conventional,1.276831906,686503.49,17194.67,385264.53,188.15,160942.66,140049.37,20206.80,0.00,122913.49
Buffalo/Rochester,Weekly,"2021-02-21 00:00:00",Conventional,1.085491682,190634.35,18467.56,58248.64,2413.28,105122.05,100894.59,3320.10,781.20,6382.82
Charlotte,Weekly,"2021-02-21 00:00:00",Conventional,1.058257436,364657.77,167658.29,47771.96,4142.19,124218.53,93659.14,13305.60,0.00,20866.80
Chicago,Weekly,"2021-02-21 00:00:00",Conventional,1.280264900,804063.57,109471.87,110891.74,31389.85,250516.07,236384.59,1714.39,10435.39,301794.03
Cincinnati/Dayton,Weekly,"2021-02-21 00:00:00",Conventional,0.922672230,296683.76,49249.08,58077.72,377.72,38578.69,31065.91,238.22,5444.05,150400.55
Columbus,Weekly,"2021-02-21 00:00:00",Conventional,0.901862676,266584.29,46428.57,44095.91,159.02,51897.61,44677.66,0.00,5831.05,124003.17
"Dallas/Ft. Worth",Weekly,"2021-02-21 00:00:00",Conventional,0.731183579,1203027.37,402287.84,143694.79,5569.16,379717.74,346814.06,666.75,30572.29,271757.83
Denver,Weekly,"2021-02-21 00:00:00",Conventional,0.944208782,1052692.63,182397.83,147158.79,2806.36,247773.08,199174.39,22501.00,9905.12,472556.56
Detroit,Weekly,"2021-02-21 00:00:00",Conventional,0.961077186,494250.35,75629.78,77993.35,33966.99,114679.03,107990.62,6.30,4895.81,191981.20
"Grand Rapids",Weekly,"2021-02-21 00:00:00",Conventional,1.296118807,175922.88,15283.92,60225.15,38986.43,46802.37,42972.96,3.15,3363.98,14625.00
Harrisburg/Scranton,Weekly,"2021-02-21 00:00:00",Conventional,0.984858266,410500.55,157578.43,111708.68,86.58,127871.13,118917.27,5613.30,3200.40,13255.73
Hartford/Springfield,Weekly,"2021-02-21 00:00:00",Conventional,1.279339368,375439.43,9639.31,269000.29,217.58,86638.63,80444.34,5761.35,0.00,9943.63
Houston,Weekly,"2021-02-21 00:00:00",Conventional,0.698860698,932896.78,418609.48,165425.19,2776.11,136521.57,118373.38,66.15,17433.46,209564.43
Indianapolis,Weekly,"2021-02-21 00:00:00",Conventional,0.864951412,270433.23,48357.83,66162.47,497.40,59604.10,51336.04,4971.09,2222.26,95811.43
Jacksonville,Weekly,"2021-02-21 00:00:00",Conventional,0.870795618,271531.00,119518.49,10294.34,117.11,69079.40,63818.00,5187.26,0.00,72521.66
"Las Vegas",Weekly,"2021-02-21 00:00:00",Conventional,0.954459291,384365.59,67287.24,35594.99,102.82,131784.48,115088.07,12.60,4721.97,149596.05
"Los Angeles",Weekly,"2021-02-21 00:00:00",Conventional,1.097651017,3040245.65,532617.38,69683.56,93639.38,707127.69,615788.33,26127.54,42708.81,1637177.64
Louisville,Weekly,"2021-02-21 00:00:00",Conventional,0.979844577,116606.84,20654.34,12668.36,28.11,34969.62,30047.62,3395.70,737.45,48286.41
"Miami/Ft. Lauderdale",Weekly,"2021-02-21 00:00:00",Conventional,0.870092660,1210862.36,609561.27,47276.20,159.59,293935.56,266859.16,2655.84,23971.50,259929.74
Nashville,Weekly,"2021-02-21 00:00:00",Conventional,0.927901000,307745.53,114335.91,17350.15,230.08,73293.89,60849.62,7318.24,2261.16,102535.50
"Northern New England",Weekly,"2021-02-21 00:00:00",Conventional,1.070293388,514781.37,13044.24,348373.72,100.19,84275.71,70304.82,13779.69,15.75,68987.52
"New Orleans/Mobile",Weekly,"2021-02-21 00:00:00",Conventional,0.732941363,339075.98,142303.89,23904.24,197.81,118350.19,100224.25,3752.83,13428.45,54319.85
"New York",Weekly,"2021-02-21 00:00:00",Conventional,1.101173828,2062292.45,59619.14,1182254.30,1720.71,734112.67,701200.20,12141.84,7.35,84585.63
Orlando,Weekly,"2021-02-21 00:00:00",Conventional,0.848501057,677706.93,298452.84,16503.13,71.34,217674.71,197275.90,8553.30,11623.50,145004.90
Peoria/Springfield,Weekly,"2021-02-21 00:00:00",Conventional,0.854572897,127969.89,35036.17,24932.35,175.68,34803.15,29175.84,2751.13,2552.76,33022.54
Philadelphia,Weekly,"2021-02-21 00:00:00",Conventional,1.016645052,655500.86,135780.26,236608.16,235.79,223372.67,186137.23,6057.45,721.35,59503.97
Phoenix/Tucson,Weekly,"2021-02-21 00:00:00",Conventional,0.789834332,1328094.01,438086.72,167393.76,4709.61,174394.12,128864.77,6.30,31984.25,543509.79
Pittsburgh,Weekly,"2021-02-21 00:00:00",Conventional,1.116066098,117273.36,27821.81,13270.11,9.94,43775.77,38881.07,6.30,4841.55,32395.74
Portland,Weekly,"2021-02-21 00:00:00",Conventional,1.084497022,703797.66,102732.44,88089.93,5282.77,88158.04,83874.93,74.81,2315.34,419534.48
Providence,Weekly,"2021-02-21 00:00:00",Conventional,1.376857141,98146.01,3115.59,59285.16,35.68,16828.74,14375.33,2370.97,0.00,18880.84
Raleigh/Greensboro,Weekly,"2021-02-21 00:00:00",Conventional,1.055400415,452623.03,198907.62,70545.39,4085.96,156069.98,109794.88,17294.03,0.00,23014.08
Richmond/Norfolk,Weekly,"2021-02-21 00:00:00",Conventional,1.041697117,313875.67,93355.82,72623.01,862.38,73846.09,45085.19,205.28,10809.17,73188.36
Roanoke,Weekly,"2021-02-21 00:00:00",Conventional,0.978072252,188112.72,59783.13,26319.06,54.07,46945.64,33132.38,3051.96,4366.00,55010.82
Sacramento,Weekly,"2021-02-21 00:00:00",Conventional,1.378232619,457985.14,131757.71,138287.15,2233.63,101055.96,100317.93,108.94,0.00,84650.68
"San Diego",Weekly,"2021-02-21 00:00:00",Conventional,1.055902347,549690.53,87907.48,34210.25,10654.17,103978.40,93837.71,6413.40,2900.83,312940.23
"San Francisco",Weekly,"2021-02-21 00:00:00",Conventional,1.531611409,761860.74,166238.94,172765.97,5246.42,152464.43,151225.85,15.75,0.00,265144.98
Seattle,Weekly,"2021-02-21 00:00:00",Conventional,1.218461708,631628.39,81656.27,73275.23,247.71,71528.14,66892.62,46.86,2550.34,404921.04
"South Carolina",Weekly,"2021-02-21 00:00:00",Conventional,0.963266753,546146.59,247063.71,44942.33,1418.25,156776.66,123298.11,19264.88,870.20,95945.64
Spokane,Weekly,"2021-02-21 00:00:00",Conventional,0.994485835,90816.90,19939.80,11277.10,9.19,14038.36,13827.63,5.51,0.00,45552.45
"St. Louis",Weekly,"2021-02-21 00:00:00",Conventional,0.902028015,201162.14,90061.41,10348.13,35.60,59153.54,52706.87,5954.68,0.00,41563.46
Syracuse,Weekly,"2021-02-21 00:00:00",Conventional,1.070570760,98089.31,8350.33,45049.62,517.88,39124.13,36934.59,2082.15,0.00,5047.35
Tampa,Weekly,"2021-02-21 00:00:00",Conventional,0.831202812,714034.90,313064.09,20672.33,17.35,184419.41,164670.02,3.15,19470.15,195861.72
Toledo,Weekly,"2021-02-21 00:00:00",Conventional,0.859194122,150913.97,24367.23,31536.71,5266.56,32991.20,27553.22,943.43,3873.12,56752.28
"West Tex/New Mexico",Weekly,"2021-02-21 00:00:00",Conventional,0.666567739,986282.29,334971.90,75919.14,7200.42,386154.05,338131.14,4672.93,42501.87,182036.78
Wichita,Weekly,"2021-02-21 00:00:00",Conventional,0.736877177,98302.28,22655.94,3923.48,2.19,34388.80,31464.52,3.15,728.59,37331.87
California,Weekly,"2021-02-21 00:00:00",Conventional,1.192972621,6119428.37,1285956.52,658957.60,126504.68,1314011.32,1197166.29,34900.56,48955.69,2733998.25
"Great Lakes",Weekly,"2021-02-21 00:00:00",Conventional,1.013468202,4056889.29,674617.05,823871.60,169890.10,984642.09,878116.49,23061.70,71713.26,1403868.45
Midsouth,Weekly,"2021-02-21 00:00:00",Conventional,1.031891239,3996437.96,1358173.11,734174.98,16118.83,1207290.15,895217.73,76444.13,55061.82,680680.88
Northeast,Weekly,"2021-02-21 00:00:00",Conventional,1.113391082,5834726.52,492955.08,3080244.83,7556.79,1791790.58,1646946.03,81047.66,12941.25,462179.25
Plains,Weekly,"2021-02-21 00:00:00",Conventional,0.894770416,2038537.26,653938.76,521844.46,1367.79,607305.02,494592.94,30921.10,43924.72,254081.22
"South Central",Weekly,"2021-02-21 00:00:00",Conventional,0.697496005,4874564.28,2123648.48,597619.73,54634.26,1270675.13,1125203.33,39378.02,98388.31,827986.68
Southeast,Weekly,"2021-02-21 00:00:00",Conventional,0.864715793,6130682.71,2817140.93,235323.61,2440.06,1614760.66,1417241.69,89459.87,83558.61,1461017.45
West,Weekly,"2021-02-21 00:00:00",Conventional,0.926684584,7377563.10,1758035.89,871405.24,22400.33,1491957.67,1232054.26,37516.27,112193.70,3233763.98
"Total U.S.",Weekly,"2021-02-21 00:00:00",Conventional,0.974404779,40428829.49,11164465.82,7523442.05,400912.85,10282432.61,8886538.76,412729.30,526737.35,11057576.16
Albany,Weekly,"2021-02-21 00:00:00",Organic,1.410657075,3476.77,35.40,388.84,0.00,2917.04,2763.05,0.00,0.00,135.49
Atlanta,Weekly,"2021-02-21 00:00:00",Organic,1.635792686,30984.04,89.24,2467.92,0.00,12355.00,12355.00,0.00,0.00,16071.88
Baltimore/Washington,Weekly,"2021-02-21 00:00:00",Organic,1.265563015,84236.22,475.56,3335.96,6.91,77243.45,77235.33,0.00,0.00,3174.34
Birmingham/Montgomery,Weekly,"2021-02-21 00:00:00",Organic,1.205294080,11914.18,96.14,172.34,0.00,10916.35,10174.47,741.88,0.00,729.35
Boise,Weekly,"2021-02-21 00:00:00",Organic,1.612721751,6566.79,16.98,693.64,0.00,1865.85,1865.85,0.00,0.00,3990.32
Boston,Weekly,"2021-02-21 00:00:00",Organic,1.677214148,40626.33,158.81,2128.94,0.00,36984.58,36891.44,0.00,0.00,1353.99
Buffalo/Rochester,Weekly,"2021-02-21 00:00:00",Organic,1.570483624,17193.50,868.53,142.43,10.01,16172.54,16172.54,0.00,0.00,0.00
Charlotte,Weekly,"2021-02-21 00:00:00",Organic,1.467082250,19430.66,82.86,3379.16,48.83,9755.48,9755.48,0.00,0.00,6164.33
Chicago,Weekly,"2021-02-21 00:00:00",Organic,1.554563814,54955.26,536.05,9889.52,0.00,21826.50,21251.10,575.40,0.00,22703.20
Cincinnati/Dayton,Weekly,"2021-02-21 00:00:00",Organic,1.569304735,15683.12,441.86,2103.05,0.00,3117.30,2641.31,475.99,0.00,10020.90
Columbus,Weekly,"2021-02-21 00:00:00",Organic,1.550197289,10620.70,837.38,1025.38,0.00,3697.18,3323.70,373.48,0.00,5060.76
"Dallas/Ft. Worth",Weekly,"2021-02-21 00:00:00",Organic,1.422583714,50127.51,3029.71,2029.23,6078.83,15257.39,15257.39,0.00,0.00,23732.35
Denver,Weekly,"2021-02-21 00:00:00",Organic,1.276841131,42002.03,4824.99,948.57,0.00,11594.10,11594.10,0.00,0.00,24634.37
